Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	TC
t13	2	5	3	6	1	4	55
t23	2	5	3	6	4	1	173
t13	2	5	3	6	4	1	55
t23	2	5	4	1	3	6	173
t13	2	5	4	1	3	6	53
t23	2	5	4	1	6	3	173
t13	2	5	4	1	6	3	48
t23	2	5	4	3	1	6	173
t13	2	5	4	3	1	6	53
t23	2	5	4	3	6	1	173
t13	2	5	4	3	6	1	48
t23	2	5	4	6	1	3	173
t13	2	5	4	6	1	3	55
t23	2	5	4	6	3	1	173
t13	2	5	4	6	3	1	55
t23	2	5	6	1	3	4	47
t13	2	5	6	1	3	4	75
t23	2	5	6	1	4	3	47
t13	2	5	6	1	4	3	75
t23	2	5	6	3	1	4	47
t13	2	5	6	3	1	4	75
t23	2	5	6	3	4	1	47
t13	2	5	6	3	4	1	75
t23	2	5	6	4	1	3	47
t13	2	5	6	4	1	3	75
t23	2	5	6	4	3	1	47
t13	2	5	6	4	3	1	75
t23	2	6	1	3	4	5	51
t13	2	6	1	3	4	5	75
t23	2	6	1	3	5	4	51
t13	2	6	1	3	5	4	75
t23	2	6	1	4	3	5	51
t13	2	6	1	4	3	5	75
t23	2	6	1	4	5	3	51
t13	2	6	1	4	5	3	75
t23	2	6	1	5	3	4	51
t13	2	6	1	5	3	4	75
t23	2	6	1	5	4	3	51
t13	2	6	1	5	4	3	75
t23	2	6	3	1	4	5	51
t13	2	6	3	1	4	5	75
t23	2	6	3	1	5	4	51
t13	2	6	3	1	5	4	75
t23	2	6	3	4	1	5	51
t13	2	6	3	4	1	5	75
t23	2	6	3	4	5	1	51
t13	2	6	3	4	5	1	75
t23	2	6	3	5	1	4	51
t13	2	6	3	5	1	4	75
t23	2	6	3	5	4	1	51
t13	2	6	3	5	4	1	75
t23	2	6	4	1	3	5	51
t13	2	6	4	1	3	5	75
t23	2	6	4	1	5	3	51
t13	2	6	4	1	5	3	75
t23	2	6	4	3	1	5	51
t13	2	6	4	3	1	5	75
t23	2	6	4	3	5	1	51
t13	2	6	4	3	5	1	75
t23	2	6	4	5	1	3	51
t13	2	6	4	5	1	3	75
t23	2	6	4	5	3	1	51
t13	2	6	4	5	3	1	75
t23	2	6	5	1	3	4	47
t13	2	6	5	1	3	4	75
t23	2	6	5	1	4	3	47
t13	2	6	5	1	4	3	75
t23	2	6	5	3	1	4	47
t13	2	6	5	3	1	4	75
t23	2	6	5	3	4	1	47
t13	2	6	5	3	4	1	75
t23	2	6	5	4	1	3	47
t13	2	6	5	4	1	3	75
t23	2	6	5	4	3	1	47
t13	2	6	5	4	3	1	75
t23	3	1	2	4	5	6	173
t13	3	1	2	4	5	6	28
t23	3	1	2	4	6	5	173
t13	3	1	2	4	6	5	28
t23	3	1	2	5	4	6	173
t13	3	1	2	5	4	6	28
t23	3	1	2	5	6	4	173
t13	3	1	2	5	6	4	28
t23	3	1	2	6	4	5	173
t13	3	1	2	6	4	5	28
t23	3	1	2	6	5	4	173
t13	3	1	2	6	5	4	28
t23	3	1	4	2	5	6	173
t13	3	1	4	2	5	6	31
t23	3	1	4	2	6	5	173
t13	3	1	4	2	6	5	31
t23	3	1	4	5	2	6	173
t13	3	1	4	5	2	6	49
t23	3	1	4	5	6	2	173
t13	3	1	4	5	6	2	34
t23	3	1	4	6	2	5	173
t13	3	1	4	6	2	5	49
t23	3	1	4	6	5	2	173
t13	3	1	4	6	5	2	34
t23	3	1	5	2	4	6	173
t13	3	1	5	2	4	6	53
t23	3	1	5	2	6	4	173
t13	3	1	5	2	6	4	48
t23	3	1	5	4	2	6	173
t13	3	1	5	4	2	6	53
t23	3	1	5	4	6	2	173
t13	3	1	5	4	6	2	48
t23	3	1	5	6	2	4	173
t13	3	1	5	6	2	4	55
t23	3	1	5	6	4	2	173
t13	3	1	5	6	4	2	55
t23	3	1	6	2	4	5	53
t13	3	1	6	2	4	5	75
t23	3	1	6	2	5	4	53
t13	3	1	6	2	5	4	75
t23	3	1	6	4	2	5	53
t13	3	1	6	4	2	5	75
t23	3	1	6	4	5	2	53
t13	3	1	6	4	5	2	75
t23	3	1	6	5	2	4	53
t13	3	1	6	5	2	4	75
t23	3	1	6	5	4	2	53
t13	3	1	6	5	4	2	75
t23	3	2	1	4	5	6	173
t13	3	2	1	4	5	6	28
t23	3	2	1	4	6	5	173
t13	3	2	1	4	6	5	28
t23	3	2	1	5	4	6	173
t13	3	2	1	5	4	6	28
t23	3	2	1	5	6	4	173
t13	3	2	1	5	6	4	28
t23	3	2	1	6	4	5	173
t13	3	2	1	6	4	5	28
t23	3	2	1	6	5	4	173
t13	3	2	1	6	5	4	28
t23	3	2	4	1	5	6	173
t13	3	2	4	1	5	6	31
t23	3	2	4	1	6	5	173
t13	3	2	4	1	6	5	31
t23	3	2	4	5	1	6	173
t13	3	2	4	5	1	6	49
t23	3	2	4	5	6	1	173
t13	3	2	4	5	6	1	34
t23	3	2	4	6	1	5	173
t13	3	2	4	6	1	5	49
t23	3	2	4	6	5	1	173
t13	3	2	4	6	5	1	34
t23	3	2	5	1	4	6	173
t13	3	2	5	1	4	6	53
t23	3	2	5	1	6	4	173
t13	3	2	5	1	6	4	48
t23	3	2	5	4	1	6	173
t13	3	2	5	4	1	6	53
t23	3	2	5	4	6	1	173
t13	3	2	5	4	6	1	48
t23	3	2	5	6	1	4	173
t13	3	2	5	6	1	4	55
t23	3	2	5	6	4	1	173
t13	3	2	5	6	4	1	55
t23	3	2	6	1	4	5	53
t13	3	2	6	1	4	5	75
t23	3	2	6	1	5	4	53
t13	3	2	6	1	5	4	75
t23	3	2	6	4	1	5	53
t13	3	2	6	4	1	5	75
t23	3	2	6	4	5	1	53
t13	3	2	6	4	5	1	75
t23	3	2	6	5	1	4	53
t13	3	2	6	5	1	4	75
t23	3	2	6	5	4	1	53
t13	3	2	6	5	4	1	75
t23	3	4	1	2	5	6	173
t13	3	4	1	2	5	6	31
t23	3	4	1	2	6	5	173
t13	3	4	1	2	6	5	31
t23	3	4	1	5	2	6	173
t13	3	4	1	5	2	6	49
t23	3	4	1	5	6	2	173
t13	3	4	1	5	6	2	34
t23	3	4	1	6	2	5	173
t13	3	4	1	6	2	5	49
t23	3	4	1	6	5	2	173
t13	3	4	1	6	5	2	34
t23	3	4	2	1	5	6	173
t13	3	4	2	1	5	6	31
t23	3	4	2	1	6	5	173
t13	3	4	2	1	6	5	31
t23	3	4	2	5	1	6	173
t13	3	4	2	5	1	6	49
t23	3	4	2	5	6	1	173
t13	3	4	2	5	6	1	34
t23	3	4	2	6	1	5	173
t13	3	4	2	6	1	5	49
t23	3	4	2	6	5	1	173
t13	3	4	2	6	5	1	34
t23	3	4	5	1	2	6	173
t13	3	4	5	1	2	6	53
t23	3	4	5	1	6	2	173
t13	3	4	5	1	6	2	48
t23	3	4	5	2	1	6	173
t13	3	4	5	2	1	6	53
t23	3	4	5	2	6	1	173
t13	3	4	5	2	6	1	48
t23	3	4	5	6	1	2	173
t13	3	4	5	6	1	2	55
t23	3	4	5	6	2	1	173
t13	3	4	5	6	2	1	55
t23	3	4	6	1	2	5	53
t13	3	4	6	1	2	5	75
t23	3	4	6	1	5	2	53
t13	3	4	6	1	5	2	75
t23	3	4	6	2	1	5	53
t13	3	4	6	2	1	5	75
t23	3	4	6	2	5	1	53
t13	3	4	6	2	5	1	75
t23	3	4	6	5	1	2	53
t13	3	4	6	5	1	2	75
t23	3	4	6	5	2	1	53
t13	3	4	6	5	2	1	75
t23	3	5	1	2	4	6	173
t13	3	5	1	2	4	6	53
t23	3	5	1	2	6	4	173
t13	3	5	1	2	6	4	48
t23	3	5	1	4	2	6	173
t13	3	5	1	4	2	6	53
t23	3	5	1	4	6	2	173
t13	3	5	1	4	6	2	48
t23	3	5	1	6	2	4	173
t13	3	5	1	6	2	4	55
t23	3	5	1	6	4	2	173
t13	3	5	1	6	4	2	55
t23	3	5	2	1	4	6	173
t13	3	5	2	1	4	6	53
t23	3	5	2	1	6	4	173
t13	3	5	2	1	6	4	48
t23	3	5	2	4	1	6	173
t13	3	5	2	4	1	6	53
t23	3	5	2	4	6	1	173
t13	3	5	2	4	6	1	48
t23	3	5	2	6	1	4	173
t13	3	5	2	6	1	4	55
t23	3	5	2	6	4	1	173
t13	3	5	2	6	4	1	55
t23	3	5	4	1	2	6	173
t13	3	5	4	1	2	6	53
t23	3	5	4	1	6	2	173
t13	3	5	4	1	6	2	48
t23	3	5	4	2	1	6	173
t13	3	5	4	2	1	6	53
t23	3	5	4	2	6	1	173
t13	3	5	4	2	6	1	48
t23	3	5	4	6	1	2	173
t13	3	5	4	6	1	2	55
t23	3	5	4	6	2	1	173
t13	3	5	4	6	2	1	55
t23	3	5	6	1	2	4	47
t13	3	5	6	1	2	4	75
t23	3	5	6	1	4	2	47
t13	3	5	6	1	4	2	75
t23	3	5	6	2	1	4	47
t13	3	5	6	2	1	4	75
t23	3	5	6	2	4	1	47
t13	3	5	6	2	4	1	75
t23	3	5	6	4	1	2	47
t13	3	5	6	4	1	2	75
t23	3	5	6	4	2	1	47
t13	3	5	6	4	2	1	75
t23	3	6	1	2	4	5	51
t13	3	6	1	2	4	5	75
t23	3	6	1	2	5	4	51
t13	3	6	1	2	5	4	75
t23	3	6	1	4	2	5	51
t13	3	6	1	4	2	5	75
t23	3	6	1	4	5	2	51
t13	3	6	1	4	5	2	75
t23	3	6	1	5	2	4	51
t13	3	6	1	5	2	4	75
t23	3	6	1	5	4	2	51
t13	3	6	1	5	4	2	75
t23	3	6	2	1	4	5	51
t13	3	6	2	1	4	5	75
t23	3	6	2	1	5	4	51
t13	3	6	2	1	5	4	75
t23	3	6	2	4	1	5	51
t13	3	6	2	4	1	5	75
t23	3	6	2	4	5	1	51
t13	3	6	2	4	5	1	75
t23	3	6	2	5	1	4	51
t13	3	6	2	5	1	4	75
t23	3	6	2	5	4	1	51
t13	3	6	2	5	4	1	75
t23	3	6	4	1	2	5	51
t13	3	6	4	1	2	5	75
t23	3	6	4	1	5	2	51
t13	3	6	4	1	5	2	75
t23	3	6	4	2	1	5	51
t13	3	6	4	2	1	5	75
t23	3	6	4	2	5	1	51
t13	3	6	4	2	5	1	75
t23	3	6	4	5	1	2	51
t13	3	6	4	5	1	2	75
t23	3	6	4	5	2	1	51
t13	3	6	4	5	2	1	75
t23	3	6	5	1	2	4	47
t13	3	6	5	1	2	4	75
t23	3	6	5	1	4	2	47
t13	3	6	5	1	4	2	75
t23	3	6	5	2	1	4	47
t13	3	6	5	2	1	4	75
t23	3	6	5	2	4	1	47
t13	3	6	5	2	4	1	75
t23	3	6	5	4	1	2	47
t13	3	6	5	4	1	2	75
t23	3	6	5	4	2	1	47
t13	3	6	5	4	2	1	75
t23	4	1	2	3	5	6	173
t13	4	1	2	3	5	6	31
t23	4	1	2	3	6	5	173
t13	4	1	2	3	6	5	31
t23	4	1	2	5	3	6	173
t13	4	1	2	5	3	6	49
t23	4	1	2	5	6	3	173
t13	4	1	2	5	6	3	34
t23	4	1	2	6	3	5	173
t13	4	1	2	6	3	5	49
t23	4	1	2	6	5	3	173
t13	4	1	2	6	5	3	34
t23	4	1	3	2	5	6	173
t13	4	1	3	2	5	6	31
t23	4	1	3	2	6	5	173
t13	4	1	3	2	6	5	31
t23	4	1	3	5	2	6	173
t13	4	1	3	5	2	6	49
t23	4	1	3	5	6	2	173
t13	4	1	3	5	6	2	34
t23	4	1	3	6	2	5	173
t13	4	1	3	6	2	5	49
t23	4	1	3	6	5	2	173
t13	4	1	3	6	5	2	34
t23	4	1	5	2	3	6	173
t13	4	1	5	2	3	6	53
t23	4	1	5	2	6	3	173
t13	4	1	5	2	6	3	48
t23	4	1	5	3	2	6	173
t13	4	1	5	3	2	6	53
t23	4	1	5	3	6	2	173
t13	4	1	5	3	6	2	48
t23	4	1	5	6	2	3	173
t13	4	1	5	6	2	3	55
t23	4	1	5	6	3	2	173
t13	4	1	5	6	3	2	55
t23	4	1	6	2	3	5	53
t13	4	1	6	2	3	5	75
t23	4	1	6	2	5	3	53
t13	4	1	6	2	5	3	75
t23	4	1	6	3	2	5	53
t13	4	1	6	3	2	5	75
t23	4	1	6	3	5	2	53
t13	4	1	6	3	5	2	75
t23	4	1	6	5	2	3	53
t13	4	1	6	5	2	3	75
t23	4	1	6	5	3	2	53
t13	4	1	6	5	3	2	75
t23	4	2	1	3	5	6	173
t13	4	2	1	3	5	6	31
t23	4	2	1	3	6	5	173
t13	4	2	1	3	6	5	31
t23	4	2	1	5	3	6	173
t13	4	2	1	5	3	6	49
t23	4	2	1	5	6	3	173
t13	4	2	1	5	6	3	34
t23	4	2	1	6	3	5	173
t13	4	2	1	6	3	5	49
t23	4	2	1	6	5	3	173
t13	4	2	1	6	5	3	34
t23	4	2	3	1	5	6	173
t13	4	2	3	1	5	6	31
t23	4	2	3	1	6	5	173
t13	4	2	3	1	6	5	31
t23	4	2	3	5	1	6	173
t13	4	2	3	5	1	6	49
t23	4	2	3	5	6	1	173
t13	4	2	3	5	6	1	34
t23	4	2	3	6	1	5	173
t13	4	2	3	6	1	5	49
t23	4	2	3	6	5	1	173
t13	4	2	3	6	5	1	34
t23	4	2	5	1	3	6	173
t13	4	2	5	1	3	6	53
t23	4	2	5	1	6	3	173
t13	4	2	5	1	6	3	48
t23	4	2	5	3	1	6	173
t13	4	2	5	3	1	6	53
t23	4	2	5	3	6	1	173
t13	4	2	5	3	6	1	48
t23	4	2	5	6	1	3	173
t13	4	2	5	6	1	3	55
t23	4	2	5	6	3	1	173
t13	4	2	5	6	3	1	55
t23	4	2	6	1	3	5	53
t13	4	2	6	1	3	5	75
t23	4	2	6	1	5	3	53
t13	4	2	6	1	5	3	75
t23	4	2	6	3	1	5	53
t13	4	2	6	3	1	5	75
t23	4	2	6	3	5	1	53
t13	4	2	6	3	5	1	75
t23	4	2	6	5	1	3	53
t13	4	2	6	5	1	3	75
t23	4	2	6	5	3	1	53
t13	4	2	6	5	3	1	75
