Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	CPA
2	20240	False	9	50	0	2	0	model-20240.graphml	T8	30201
2	20371	False	9	50	0	2	1	model-20371.graphml	T8	21167
2	20517	False	9	50	0	2	2	model-20517.graphml	T8	43469
2	20527	False	9	60	0	2	2	model-20527.graphml	T9	62367
2	20530	False	9	60	0	2	2	model-20530.graphml	T9	117164
2	20535	False	9	70	0	2	2	model-20535.graphml	T9	112761
1	20586	False	9	50	1	2	0	model-20586.graphml	T8	211824
2	20658	False	9	50	1	2	0	model-20658.graphml	T13	68932
2	20800	False	9	50	1	2	1	model-20800.graphml	T8	31813
2	20945	False	9	60	1	2	2	model-20945.graphml	T8	66653
2	21357	False	9	50	2	2	2	model-21357.graphml	T13	87036
3	22410	False	9	50	1	4	1	model-22410.graphml	T29	19160
1	25201	False	5	50	0	2	0	model-25201.graphml	T9	34818
1	25202	False	5	50	0	2	0	model-25202.graphml	T9	33084
1	25203	False	5	50	0	2	0	model-25203.graphml	T4	11435
1	25204	False	5	50	0	2	0	model-25204.graphml	T9	35405
1	25205	False	5	50	0	2	0	model-25205.graphml	T4	7439
1	25206	False	5	50	0	2	0	model-25206.graphml	T4	48859
1	25208	False	5	50	0	2	0	model-25208.graphml	T9	21239
1	25209	False	5	50	0	2	0	model-25209.graphml	T9	29387
1	25210	False	5	50	0	2	0	model-25210.graphml	T9	22234
1	25211	False	5	60	0	2	0	model-25211.graphml	T9	45363
1	25212	False	5	60	0	2	0	model-25212.graphml	T4	28640
1	25213	False	5	60	0	2	0	model-25213.graphml	T9	43816
1	25215	False	5	60	0	2	0	model-25215.graphml	T4	28689
1	25218	False	5	60	0	2	0	model-25218.graphml	T4	86437
1	25219	False	5	60	0	2	0	model-25219.graphml	T9	53862
1	25232	False	5	80	0	2	0	model-25232.graphml	T9	116298
1	25233	False	5	80	0	2	0	model-25233.graphml	T9	29990
1	25249	False	5	90	0	2	0	model-25249.graphml	T9	112390
2	25271	False	5	50	0	2	0	model-25271.graphml	T4	30149
2	25272	False	5	50	0	2	0	model-25272.graphml	T8	9692
2	25273	False	5	50	0	2	0	model-25273.graphml	T4	47270
2	25274	False	5	50	0	2	0	model-25274.graphml	T8	39407
2	25275	False	5	50	0	2	0	model-25275.graphml	T4	9097
2	25276	False	5	50	0	2	0	model-25276.graphml	T4	26412
2	25280	False	5	50	0	2	0	model-25280.graphml	T8	4715
2	25281	False	5	60	0	2	0	model-25281.graphml	T8	27203
2	25282	False	5	60	0	2	0	model-25282.graphml	T8	26151
2	25284	False	5	60	0	2	0	model-25284.graphml	T8	39202
2	25285	False	5	60	0	2	0	model-25285.graphml	T8	177698
2	25287	False	5	60	0	2	0	model-25287.graphml	T4	13577
2	25289	False	5	60	0	2	0	model-25289.graphml	T8	33826
2	25306	False	5	80	0	2	0	model-25306.graphml	T4	43403
1	25341	False	5	50	0	2	1	model-25341.graphml	T9	35695
1	25342	False	5	50	0	2	1	model-25342.graphml	T4	57677
1	25343	False	5	50	0	2	1	model-25343.graphml	T9	90746
1	25345	False	5	50	0	2	1	model-25345.graphml	T9	67222
1	25346	False	5	50	0	2	1	model-25346.graphml	T9	25086
1	25347	False	5	50	0	2	1	model-25347.graphml	T4	121844
1	25348	False	5	50	0	2	1	model-25348.graphml	T9	33459
1	25351	False	5	60	0	2	1	model-25351.graphml	T4	73207
1	25354	False	5	60	0	2	1	model-25354.graphml	T9	18155
1	25357	False	5	60	0	2	1	model-25357.graphml	T9	44892
1	25359	False	5	60	0	2	1	model-25359.graphml	T9	20456
1	25363	False	5	70	0	2	1	model-25363.graphml	T9	51970
1	25364	False	5	70	0	2	1	model-25364.graphml	T9	41214
1	25388	False	5	90	0	2	1	model-25388.graphml	T9	66754
2	25411	False	5	50	0	2	1	model-25411.graphml	T8	39931
2	25412	False	5	50	0	2	1	model-25412.graphml	T8	34672
2	25413	False	5	50	0	2	1	model-25413.graphml	T8	211243
2	25414	False	5	50	0	2	1	model-25414.graphml	T4	16913
2	25416	False	5	50	0	2	1	model-25416.graphml	T4	12055
2	25419	False	5	50	0	2	1	model-25419.graphml	T8	57359
2	25420	False	5	50	0	2	1	model-25420.graphml	T4	24895
2	25421	False	5	60	0	2	1	model-25421.graphml	T4	26482
2	25422	False	5	60	0	2	1	model-25422.graphml	T8	36483
2	25423	False	5	60	0	2	1	model-25423.graphml	T4	149185
2	25424	False	5	60	0	2	1	model-25424.graphml	T4	45504
2	25429	False	5	60	0	2	1	model-25429.graphml	T8	62261
2	25430	False	5	60	0	2	1	model-25430.graphml	T4	38046
2	25436	False	5	70	0	2	1	model-25436.graphml	T8	46383
2	25441	False	5	80	0	2	1	model-25441.graphml	T8	59805
2	25449	False	5	80	0	2	1	model-25449.graphml	T8	88636
1	25481	False	5	50	0	2	2	model-25481.graphml	T4	24375
1	25482	False	5	50	0	2	2	model-25482.graphml	T4	20000
1	25483	False	5	50	0	2	2	model-25483.graphml	T9	87861
1	25484	False	5	50	0	2	2	model-25484.graphml	T4	23723
1	25485	False	5	50	0	2	2	model-25485.graphml	T9	21471
1	25486	False	5	50	0	2	2	model-25486.graphml	T4	51833
1	25487	False	5	50	0	2	2	model-25487.graphml	T9	26245
1	25488	False	5	50	0	2	2	model-25488.graphml	T9	85645
1	25489	False	5	50	0	2	2	model-25489.graphml	T4	20302
1	25490	False	5	50	0	2	2	model-25490.graphml	T4	22212
1	25492	False	5	60	0	2	2	model-25492.graphml	T4	43655
1	25494	False	5	60	0	2	2	model-25494.graphml	T4	137173
1	25495	False	5	60	0	2	2	model-25495.graphml	T4	67833
1	25499	False	5	60	0	2	2	model-25499.graphml	T9	5902
