Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	CPA
t39	1	2	4	7	6	5	3	1590
t17	1	2	4	7	6	5	3	470
t25	1	2	4	7	6	5	3	1120
t39	1	2	5	3	4	6	7	1655
t17	1	2	5	3	4	6	7	710
t25	1	2	5	3	4	6	7	980
t39	1	2	5	3	4	7	6	1705
t17	1	2	5	3	4	7	6	690
t25	1	2	5	3	4	7	6	960
t39	1	2	5	3	6	4	7	1735
t17	1	2	5	3	6	4	7	730
t25	1	2	5	3	6	4	7	900
t39	1	2	5	3	6	7	4	1830
t17	1	2	5	3	6	7	4	530
t25	1	2	5	3	6	7	4	860
t39	1	2	5	3	7	4	6	1895
t17	1	2	5	3	7	4	6	610
t25	1	2	5	3	7	4	6	780
t39	1	2	5	3	7	6	4	1850
t17	1	2	5	3	7	6	4	530
t25	1	2	5	3	7	6	4	860
t39	1	2	5	4	3	6	7	1575
t17	1	2	5	4	3	6	7	710
t25	1	2	5	4	3	6	7	1100
t39	1	2	5	4	3	7	6	1625
t17	1	2	5	4	3	7	6	690
t25	1	2	5	4	3	7	6	1080
t39	1	2	5	4	6	3	7	1715
t17	1	2	5	4	6	3	7	730
t25	1	2	5	4	6	3	7	920
t39	1	2	5	4	6	7	3	1745
t17	1	2	5	4	6	7	3	490
t25	1	2	5	4	6	7	3	1000
t39	1	2	5	4	7	3	6	1875
t17	1	2	5	4	7	3	6	610
t25	1	2	5	4	7	3	6	800
t39	1	2	5	4	7	6	3	1765
t17	1	2	5	4	7	6	3	490
t25	1	2	5	4	7	6	3	1000
t39	1	2	5	6	3	4	7	1535
t17	1	2	5	6	3	4	7	710
t25	1	2	5	6	3	4	7	1140
t39	1	2	5	6	3	7	4	1465
t17	1	2	5	6	3	7	4	610
t25	1	2	5	6	3	7	4	1360
t39	1	2	5	6	4	3	7	1480
t17	1	2	5	6	4	3	7	690
t25	1	2	5	6	4	3	7	1120
t39	1	2	5	6	4	7	3	1585
t17	1	2	5	6	4	7	3	490
t25	1	2	5	6	4	7	3	1240
t39	1	2	5	6	7	3	4	1640
t17	1	2	5	6	7	3	4	490
t25	1	2	5	6	7	3	4	1020
t39	1	2	5	6	7	4	3	1725
t17	1	2	5	6	7	4	3	490
t25	1	2	5	6	7	4	3	1040
t39	1	2	5	7	3	4	6	1420
t17	1	2	5	7	3	4	6	650
t25	1	2	5	7	3	4	6	1240
t39	1	2	5	7	3	6	4	1410
t17	1	2	5	7	3	6	4	590
t25	1	2	5	7	3	6	4	1360
t39	1	2	5	7	4	3	6	1400
t17	1	2	5	7	4	3	6	650
t25	1	2	5	7	4	3	6	1240
t39	1	2	5	7	4	6	3	1530
t17	1	2	5	7	4	6	3	470
t25	1	2	5	7	4	6	3	1240
t39	1	2	5	7	6	3	4	1480
t17	1	2	5	7	6	3	4	490
t25	1	2	5	7	6	3	4	1120
t39	1	2	5	7	6	4	3	1560
t17	1	2	5	7	6	4	3	470
t25	1	2	5	7	6	4	3	1120
t39	1	2	6	3	4	5	7	1635
t17	1	2	6	3	4	5	7	710
t25	1	2	6	3	4	5	7	1000
t39	1	2	6	3	4	7	5	1625
t17	1	2	6	3	4	7	5	650
t25	1	2	6	3	4	7	5	1100
t39	1	2	6	3	5	4	7	1655
t17	1	2	6	3	5	4	7	730
t25	1	2	6	3	5	4	7	1020
t39	1	2	6	3	5	7	4	1745
t17	1	2	6	3	5	7	4	530
t25	1	2	6	3	5	7	4	980
t39	1	2	6	3	7	4	5	1815
t17	1	2	6	3	7	4	5	570
t25	1	2	6	3	7	4	5	940
t39	1	2	6	3	7	5	4	1825
t17	1	2	6	3	7	5	4	530
t25	1	2	6	3	7	5	4	900
t39	1	2	6	4	3	5	7	1555
t17	1	2	6	4	3	5	7	710
t25	1	2	6	4	3	5	7	1120
t39	1	2	6	4	3	7	5	1545
t17	1	2	6	4	3	7	5	650
t25	1	2	6	4	3	7	5	1220
t39	1	2	6	4	5	3	7	1635
t17	1	2	6	4	5	3	7	730
t25	1	2	6	4	5	3	7	1040
t39	1	2	6	4	5	7	3	1665
t17	1	2	6	4	5	7	3	490
t25	1	2	6	4	5	7	3	1120
t39	1	2	6	4	7	3	5	1795
t17	1	2	6	4	7	3	5	570
t25	1	2	6	4	7	3	5	960
t39	1	2	6	4	7	5	3	1745
t17	1	2	6	4	7	5	3	490
t25	1	2	6	4	7	5	3	1020
t39	1	2	6	5	3	4	7	1535
t17	1	2	6	5	3	4	7	710
t25	1	2	6	5	3	4	7	1140
t39	1	2	6	5	3	7	4	1465
t17	1	2	6	5	3	7	4	610
t25	1	2	6	5	3	7	4	1360
t39	1	2	6	5	4	3	7	1480
t17	1	2	6	5	4	3	7	690
t25	1	2	6	5	4	3	7	1120
t39	1	2	6	5	4	7	3	1585
t17	1	2	6	5	4	7	3	490
t25	1	2	6	5	4	7	3	1240
t39	1	2	6	5	7	3	4	1640
t17	1	2	6	5	7	3	4	490
t25	1	2	6	5	7	3	4	1020
t39	1	2	6	5	7	4	3	1725
t17	1	2	6	5	7	4	3	490
t25	1	2	6	5	7	4	3	1040
t39	1	2	6	7	3	4	5	1295
t17	1	2	6	7	3	4	5	610
t25	1	2	6	7	3	4	5	1360
t39	1	2	6	7	3	5	4	1380
t17	1	2	6	7	3	5	4	590
t25	1	2	6	7	3	5	4	1360
t39	1	2	6	7	4	3	5	1285
t17	1	2	6	7	4	3	5	610
t25	1	2	6	7	4	3	5	1360
t39	1	2	6	7	4	5	3	1510
t17	1	2	6	7	4	5	3	470
t25	1	2	6	7	4	5	3	1260
t39	1	2	6	7	5	3	4	1400
t17	1	2	6	7	5	3	4	490
t25	1	2	6	7	5	3	4	1240
t39	1	2	6	7	5	4	3	1440
t17	1	2	6	7	5	4	3	470
t25	1	2	6	7	5	4	3	1240
t39	1	2	7	3	4	5	6	1555
t17	1	2	7	3	4	5	6	670
t25	1	2	7	3	4	5	6	1140
t39	1	2	7	3	4	6	5	1605
t17	1	2	7	3	4	6	5	650
t25	1	2	7	3	4	6	5	1120
t39	1	2	7	3	5	4	6	1500
t17	1	2	7	3	5	4	6	650
t25	1	2	7	3	5	4	6	1120
t39	1	2	7	3	5	6	4	1725
t17	1	2	7	3	5	6	4	530
t25	1	2	7	3	5	6	4	1000
t39	1	2	7	3	6	4	5	1620
t17	1	2	7	3	6	4	5	530
t25	1	2	7	3	6	4	5	1020
t39	1	2	7	3	6	5	4	1705
t17	1	2	7	3	6	5	4	530
t25	1	2	7	3	6	5	4	1020
t39	1	2	7	4	3	5	6	1440
t17	1	2	7	4	3	5	6	650
t25	1	2	7	4	3	5	6	1240
t39	1	2	7	4	3	6	5	1525
t17	1	2	7	4	3	6	5	650
t25	1	2	7	4	3	6	5	1240
t39	1	2	7	4	5	3	6	1480
t17	1	2	7	4	5	3	6	650
t25	1	2	7	4	5	3	6	1120
t39	1	2	7	4	5	6	3	1645
t17	1	2	7	4	5	6	3	490
t25	1	2	7	4	5	6	3	1140
t39	1	2	7	4	6	3	5	1600
t17	1	2	7	4	6	3	5	530
t25	1	2	7	4	6	3	5	1040
t39	1	2	7	4	6	5	3	1590
t17	1	2	7	4	6	5	3	470
t25	1	2	7	4	6	5	3	1120
t39	1	2	7	5	3	4	6	1420
t17	1	2	7	5	3	4	6	650
t25	1	2	7	5	3	4	6	1240
t39	1	2	7	5	3	6	4	1410
t17	1	2	7	5	3	6	4	590
t25	1	2	7	5	3	6	4	1360
t39	1	2	7	5	4	3	6	1400
t17	1	2	7	5	4	3	6	650
t25	1	2	7	5	4	3	6	1240
t39	1	2	7	5	4	6	3	1530
t17	1	2	7	5	4	6	3	470
t25	1	2	7	5	4	6	3	1240
t39	1	2	7	5	6	3	4	1480
t17	1	2	7	5	6	3	4	490
t25	1	2	7	5	6	3	4	1120
t39	1	2	7	5	6	4	3	1560
t17	1	2	7	5	6	4	3	470
t25	1	2	7	5	6	4	3	1120
t39	1	2	7	6	3	4	5	1295
t17	1	2	7	6	3	4	5	610
t25	1	2	7	6	3	4	5	1360
t39	1	2	7	6	3	5	4	1380
t17	1	2	7	6	3	5	4	590
t25	1	2	7	6	3	5	4	1360
t39	1	2	7	6	4	3	5	1285
t17	1	2	7	6	4	3	5	610
t25	1	2	7	6	4	3	5	1360
t39	1	2	7	6	4	5	3	1510
t17	1	2	7	6	4	5	3	470
t25	1	2	7	6	4	5	3	1260
t39	1	2	7	6	5	3	4	1400
t17	1	2	7	6	5	3	4	490
t25	1	2	7	6	5	3	4	1240
t39	1	2	7	6	5	4	3	1440
t17	1	2	7	6	5	4	3	470
t25	1	2	7	6	5	4	3	1240
t39	1	3	2	4	5	6	7	1775
t17	1	3	2	4	5	6	7	750
t25	1	3	2	4	5	6	7	860
t39	1	3	2	4	5	7	6	1790
t17	1	3	2	4	5	7	6	710
t25	1	3	2	4	5	7	6	820
t39	1	3	2	4	6	5	7	1755
t17	1	3	2	4	6	5	7	750
t25	1	3	2	4	6	5	7	860
t39	1	3	2	4	6	7	5	1910
t17	1	3	2	4	6	7	5	590
t25	1	3	2	4	6	7	5	700
t39	1	3	2	4	7	5	6	1920
t17	1	3	2	4	7	5	6	630
t25	1	3	2	4	7	5	6	740
t39	1	3	2	4	7	6	5	1930
t17	1	3	2	4	7	6	5	590
t25	1	3	2	4	7	6	5	700
t39	1	3	2	5	4	6	7	1655
t17	1	3	2	5	4	6	7	730
t25	1	3	2	5	4	6	7	960
t39	1	3	2	5	4	7	6	1705
t17	1	3	2	5	4	7	6	710
t25	1	3	2	5	4	7	6	940
t39	1	3	2	5	6	4	7	1735
t17	1	3	2	5	6	4	7	750
t25	1	3	2	5	6	4	7	880
t39	1	3	2	5	6	7	4	1830
t17	1	3	2	5	6	7	4	550
t25	1	3	2	5	6	7	4	840
t39	1	3	2	5	7	4	6	1895
t17	1	3	2	5	7	4	6	630
t25	1	3	2	5	7	4	6	760
t39	1	3	2	5	7	6	4	1850
t17	1	3	2	5	7	6	4	550
t25	1	3	2	5	7	6	4	840
t39	1	3	2	6	4	5	7	1635
t17	1	3	2	6	4	5	7	730
t25	1	3	2	6	4	5	7	980
t39	1	3	2	6	4	7	5	1625
t17	1	3	2	6	4	7	5	670
t25	1	3	2	6	4	7	5	1080
t39	1	3	2	6	5	4	7	1655
t17	1	3	2	6	5	4	7	750
t25	1	3	2	6	5	4	7	1000
t39	1	3	2	6	5	7	4	1745
t17	1	3	2	6	5	7	4	550
t25	1	3	2	6	5	7	4	960
t39	1	3	2	6	7	4	5	1815
t17	1	3	2	6	7	4	5	590
t25	1	3	2	6	7	4	5	920
t39	1	3	2	6	7	5	4	1825
t17	1	3	2	6	7	5	4	550
t25	1	3	2	6	7	5	4	880
t39	1	3	2	7	4	5	6	1555
t17	1	3	2	7	4	5	6	690
t25	1	3	2	7	4	5	6	1120
t39	1	3	2	7	4	6	5	1605
t17	1	3	2	7	4	6	5	670
t25	1	3	2	7	4	6	5	1100
t39	1	3	2	7	5	4	6	1500
t17	1	3	2	7	5	4	6	670
t25	1	3	2	7	5	4	6	1100
t39	1	3	2	7	5	6	4	1725
t17	1	3	2	7	5	6	4	550
t25	1	3	2	7	5	6	4	980
t39	1	3	2	7	6	4	5	1620
t17	1	3	2	7	6	4	5	550
t25	1	3	2	7	6	4	5	1000
t39	1	3	2	7	6	5	4	1705
t17	1	3	2	7	6	5	4	550
t25	1	3	2	7	6	5	4	1000
t39	1	3	4	2	5	6	7	1775
t17	1	3	4	2	5	6	7	750
t25	1	3	4	2	5	6	7	860
t39	1	3	4	2	5	7	6	1790
t17	1	3	4	2	5	7	6	710
t25	1	3	4	2	5	7	6	820
t39	1	3	4	2	6	5	7	1755
t17	1	3	4	2	6	5	7	750
t25	1	3	4	2	6	5	7	860
t39	1	3	4	2	6	7	5	1910
t17	1	3	4	2	6	7	5	590
t25	1	3	4	2	6	7	5	700
t39	1	3	4	2	7	5	6	1920
t17	1	3	4	2	7	5	6	630
t25	1	3	4	2	7	5	6	740
t39	1	3	4	2	7	6	5	1930
t17	1	3	4	2	7	6	5	590
t25	1	3	4	2	7	6	5	700
t39	1	3	4	5	2	6	7	1535
t17	1	3	4	5	2	6	7	770
t25	1	3	4	5	2	6	7	1100
t39	1	3	4	5	2	7	6	1585
t17	1	3	4	5	2	7	6	750
t25	1	3	4	5	2	7	6	1080
t39	1	3	4	5	6	2	7	1705
t17	1	3	4	5	6	2	7	740
t25	1	3	4	5	6	2	7	920
t39	1	3	4	5	6	7	2	1705
